file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
LOVF/HE.LOVF..CHE__20250102T091710Z__20250102T091810Z.mseed,HE,LOVF,0,0,0,0,2025-01-02 09:17:15.786000,0.919,2025-01-02 09:17:18.996000,0.775,2025-01-02 09:17:10,2025-01-02 09:18:10
VJF/HE.VJF..HHN__20250102T091713Z__20250102T091813Z.mseed,HE,VJF,0,0,0,0,2025-01-02 09:17:18.754000,0.823,2025-01-02 09:17:26.524000,0.25,2025-01-02 09:17:13,2025-01-02 09:18:13
KY17/HE.KY17..CHN__20250102T091714Z__20250102T091814Z.mseed,HE,KY17,0,0,0,0,2025-01-02 09:17:19.496000,0.827,2025-01-02 09:17:25.426000,0.817,2025-01-02 09:17:14,2025-01-02 09:18:14
KY02/HE.KY02..CHE__20250102T091714Z__20250102T091814Z.mseed,HE,KY02,0,0,0,0,2025-01-02 09:17:19.488000,0.965,2025-01-02 09:17:25.428000,0.761,2025-01-02 09:17:14,2025-01-02 09:18:14
PVF/HE.PVF..CHN__20250102T091714Z__20250102T091814Z.mseed,HE,PVF,0,0,0,0,2025-01-02 09:17:19.344000,0.777,2025-01-02 09:17:25.254000,0.64,2025-01-02 09:17:14,2025-01-02 09:18:14
VUOS/HE.VUOS..HHE__20250102T091721Z__20250102T091821Z.mseed,HE,VUOS,0,0,0,0,2025-01-02 09:17:26.728000,0.807,,,2025-01-02 09:17:21,2025-01-02 09:18:21
FIA1/HE.FIA1..HHZ__20250102T091723Z__20250102T091823Z.mseed,HE,FIA1,0,0,0,0,2025-01-02 09:17:28.950000,0.886,2025-01-02 09:17:42.470000,0.436,2025-01-02 09:17:23,2025-01-02 09:18:23
KUNI/HE.KUNI..HHN__20250102T091723Z__20250102T091823Z.mseed,HE,KUNI,0,0,0,0,2025-01-02 09:17:28.252000,0.604,2025-01-02 09:17:41.402000,0.242,2025-01-02 09:17:23,2025-01-02 09:18:23
FIA0/HE.FIA0..HHE__20250102T091723Z__20250102T091823Z.mseed,HE,FIA0,0,0,0,0,2025-01-02 09:17:28.960000,0.771,2025-01-02 09:17:42.460000,0.442,2025-01-02 09:17:23,2025-01-02 09:18:23
NUR/HE.NUR..HHE__20250102T091724Z__20250102T091824Z.mseed,HE,NUR,0,0,0,0,2025-01-02 09:17:29.876000,0.583,2025-01-02 09:17:50.106000,0.269,2025-01-02 09:17:24,2025-01-02 09:18:24
